,Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,Particulate Organic Carbon (mg/L),Extracted Chlorophyll a (µg/L),CTD Specific Conductivity (µS/cm),Total Nitrogen (mg/L),Nitrate + Nitrite (mg N/L),CTD Dissolved Oxygen (mg/L),Total Phosphorus (µg P/L),Secchi Depth (m),Total Suspended Solids (mg/L),CTD Temperature (°C),Turbidity (NTU)
0,1.0,2010.0,April    ,Spring,Erie,ER1011,E091M10,ER91M,10.2,41.83835,-82.904333,2010-04-07 20:59:00,EDT,4.9,Five Meter,surface water,Individual QC,lab duplicate,10GC17C82,,,,,0.477,,10.2165,,,7.1,
1,2.0,2010.0,April    ,Spring,Erie,ER1011,E060M10,ER60,8.3,41.89175,-83.19488299999999,2010-04-07 15:35:00,EDT,4.1,Middle Depth,surface water,Individual QC,field duplicate,10GC17D23,,,232.9,,0.401,,7.2490000000000006,,,8.7,1.61
2,3.0,2010.0,April    ,Spring,Erie,ER1011,E061M10,ER61,8.9,41.946767,-83.04561700000001,2010-04-07 14:18:00,EDT,0.0,"Integrated, Spring",surface water,Composite,routine field sample,10GC17I12,,,,,0.904,,11.0665,,,8.7,
3,4.0,2010.0,April    ,Spring,Erie,ER1011,E060M10,ER60,8.3,41.89175,-83.19488299999999,2010-04-07 15:35:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC17I32,,,,,0.401,,7.465999999999999,,,8.6,
4,5.0,2010.0,April    ,Spring,Erie,ER1011,E059M10,ER59,8.0,41.72735,-83.150533,2010-04-07 17:11:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC17I52,,,,,0.632,,8.2365,,,7.7,
5,6.0,2010.0,April    ,Spring,Erie,ER1011,E058M10,ER58,9.5,41.683917,-82.9349,2010-04-07 18:11:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC17I72,,,,,0.696,,13.403500000000001,,,8.0,
6,7.0,2010.0,April    ,Spring,Erie,ER1011,E091M10,ER91M,10.2,41.83835,-82.904333,2010-04-07 20:59:00,EDT,,"Integrated, Spring",surface water,Composite,routine field sample,10GC17I92,,,,,0.474,,9.780999999999999,,,7.0,
7,8.0,2010.0,April    ,Spring,Erie,ER1011,E058M10,ER58,9.5,41.683917,-82.9349,2010-04-07 18:11:00,EDT,,Synthetic Sample,surface water,Individual QC,field blank,10GC17R60,,,0.7491,,-0.003701,,0.434,,,8.0,0.065
8,9.0,2010.0,April    ,Spring,Erie,ER1011,E061M10,ER61,8.9,41.946767,-83.04561700000001,2010-04-07 14:18:00,EDT,2.0,Surface,surface water,Individual,routine field sample,10GC17S01,,,249.2,,0.909,,10.352500000000001,,,8.7,9.69
9,10.0,2010.0,April    ,Spring,Erie,ER1011,E061M10,ER61,8.9,41.946767,-83.04561700000001,2010-04-07 14:18:00,EDT,4.5,Middle Depth,surface water,Individual,routine field sample,10GC17S03,,,248.8,,0.902,,10.371,,,8.7,9.92
