,Date,Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),CTD Temperature (°C),CTD Specific Conductivity (µS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (µE/m2/s),Turbidity (NTU),Particulate Microcystin (µg/L),Dissolved Microcystin (µg/L),Extracted Phycocyanin (µg/L),Extracted Chlorophyll a (µg/L),Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Soluble Reactive Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
0,2019-04-30,WE2,,5.5,Bottom,,41.7634,-83.3302,,,,,11.1,307.5,33.5,0.0,9.0,0.0,,,,1.27,7.61,,,,,,,,,,
1,2019-04-30,WE8,,4.6,Bottom,,41.8343,-83.3594,,,,,11.0,371.9,19.4,0.8,9.9,0.0,,,,0.38,8.0,,,,,,,,,,
2,2019-04-30,WE12,,6.7,Bottom,,41.7045,-83.2511,,,,,10.9,353.2,33.6,0.0,9.6,0.0,,,,1.28,5.1,,,,,,,,,,
3,2019-05-21,WE2,,5.2,Bottom,,41.7625,-83.3287,,,,,15.1,427.9,8.6,11.8,8.6,0.0,,0.1,0.1,0.29,2.71,,,,,,,,,,
4,2019-05-21,WE8,,4.8,Bottom,,41.8342,-83.3583,,,,,15.7,413.6,3.9,37.5,9.0,103.32,,0.1,0.1,0.18,1.93,,,,,,,,,,
5,2019-05-21,WE12,,6.3,Bottom,,41.7019,-83.2526,,,,,15.0,365.3,36.4,0.0,8.2,0.0,,0.1,0.17,0.39,5.61,,,,,,,,,,
6,2019-05-21,WE13,,8.7,Bottom,,41.744,-83.1359,,,,,12.8,310.0,5.4,26.1,9.7,0.0,,0.1,0.1,0.2,4.59,,,,,,,,,,
7,2019-06-03,WE2,,5.2,Bottom,,41.7626,-83.329,,,,,17.9,320.1,7.0,17.4,9.3,1.3,,0.1,0.1,0.29,22.96,,,,,,,,,,
8,2019-06-03,WE8,,4.7,Bottom,,41.8366,-83.3569,,,,,19.5,384.4,7.2,16.4,8.4,0.0,,0.1,0.1,0.28,14.67,,,,,,,,,,
9,2019-06-03,WE12,,6.3,Bottom,,41.7036,-83.2554,,,,,18.5,356.8,11.9,5.1,8.1,0.0,,0.1,0.1,0.44,15.88,,,,,,,,,,
