,Site,Site ID,Site Type,Collect Date,Collection Time,Sample ID,Parameter,Result,Units,Qual.*,Program,Lab,Lat,Long,Saturation
0,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-12-25,00:00,2121629,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
1,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-12-10,00:00,2115433,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
2,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-11-26,00:00,2107254,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
3,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-11-12,00:00,2103289,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
4,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-29,00:00,2094113,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
5,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-29,00:00,2094112,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
6,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-22,00:00,2091714,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
7,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-22,00:00,2091715,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
8,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-15,00:00,2088746,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
9,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-15,00:00,2088747,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
10,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-08,00:00,2102892,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
11,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-08,00:00,2102893,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
12,Lake Erie off Lakeside (Marblehead),303468,Lake Site,2018-10-02,10:45,18100202-12,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.556748999999996,-82.785072,False
13,Lake Erie North of Port Clinton,302502,Lake Site,2018-10-02,10:05,18100202-06,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.55781,-82.93635,False
14,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-01,00:00,2079473,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
15,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-01,00:00,2079474,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
16,Lake Erie between Toledo/Oregon WTP Intakes,302821,Lake Site,2018-09-27,11:40,18092702-07,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6957,-83.2649,False
17,Lake Erie near Crane Reef,303470,Lake Site,2018-09-27,10:42,18092702-13,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.6607,-83.09234599999999,False
18,Lake Erie Ambient Site - Off Maumee Bay,301258,Lake Site,2018-09-24,10:52,18092402-02,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.76832,-83.3008,False
