,Particulate Microcystin (µg/L)
0,1.1143918539929236
1,0.44922617014848193
2,1.3734737033817908
3,1.6019845631819252
4,0.535183694774541
5,1.4142821913224746
6,1.0472498125874041
7,1.41692313494027
8,0.2124813833735764
9,1.535289070515092
10,1.3727262688485926
11,1.735506387603194
12,0.22849159973248379
13,0.14219614025115357
14,1.3691543732632092
15,1.5522517617513805
16,-0.039949756143755843
17,1.581831831460307
18,1.1703502428928674
19,1.4505382023520947
20,1.4303756883037053
21,0.33639995682547613
22,1.1439285073434697
23,1.422546511666269
24,0.17749487715974369
25,1.1028665855910957
26,1.274215634756967
27,-0.20284917850647247
28,-0.42819973421943486
29,-0.29886886892161607
30,-0.3881448041002436
31,0.22280202840455068
32,-0.6140576285751812
33,-0.009070173009742184
34,-0.7501344678420487
35,-0.9902496912207938
36,-0.9902496912207938
37,-0.6880949123766942
38,-0.9187601684104356
39,-0.7351427345420725
40,-0.9902496912207938
41,-0.8929465564319746
42,-0.9881657725264822
43,-0.959249210667815
44,-0.8059084450649113
45,-0.9902496912207938
46,-0.9902496912207938
47,-0.9087854827449614
48,-0.8501402118326372
49,-0.8772543301288515
50,-0.9902496912207938
51,-0.9902496912207938
52,-0.9902496912207938
53,-0.9902496912207938
54,-0.9902496912207938
55,-0.9757141505973034
56,-0.3998237325575069
57,-0.3998237325575069
58,-0.3998237325575069
59,-0.3998237325575069
60,-0.3998237325575069
61,-0.3998237325575069
62,-0.3998237325575069
63,-0.3998237325575069
64,-0.3998237325575069
65,-0.3998237325575069
66,-0.3998237325575069
67,-0.3998237325575069
68,-0.9902496912207938
69,-0.9902496912207938
70,-0.9902496912207938
71,-0.9902496912207938
72,-0.9902496912207938
73,-0.9902496912207938
74,-0.9902496912207938
75,-0.9902496912207938
76,-0.9902496912207938
77,-0.9902496912207938
78,-0.9902496912207938
79,-0.9902496912207938
80,-0.9902496912207938
81,-0.9902496912207938
82,-0.9902496912207938
83,-0.9902496912207938
84,-0.9902496912207938
85,-0.9902496912207938
86,-0.9902496912207938
87,-0.9902496912207938
88,-0.9902496912207938
89,-0.9902496912207938
90,-0.9902496912207938
91,-0.9902496912207938
92,-0.9902496912207938
93,-0.9902496912207938
94,-0.9902496912207938
95,-0.9902496912207938
96,-0.9902496912207938
97,-0.9902496912207938
98,-0.9902496912207938
99,-0.9902496912207938
100,-0.9902496912207938
101,-0.9902496912207938
102,-0.9902496912207938
103,-0.9902496912207938
104,-0.9902496912207938
105,-0.9902496912207938
106,-0.9902496912207938
107,-0.9902496912207938
108,-0.9902496912207938
109,-0.9902496912207938
110,-0.957202028273623
111,-0.957202028273623
112,-0.9902496912207938
113,-0.9902496912207938
114,-0.9902496912207938
115,-0.9902496912207938
116,-0.9902496912207938
117,-0.9902496912207938
118,-0.6997265707949634
119,-0.9902496912207938
120,-0.6628045200272025
121,0.20089274221958417
122,-0.5784891420376195
123,-0.9902496912207938
124,1.7110715921057824
125,1.389884585606867
126,-0.6046165391161956
127,1.7495107916513484
128,-0.8009280413393715
129,-0.009271367749980584
130,0.5018084783481144
131,1.8685627662780793
132,0.6147389522799602
133,1.720221810929377
134,1.865502631067617
135,0.3522043245875984
136,1.5313067673227658
137,1.7240042726171703
138,1.8070991062823833
139,1.8430593583138206
140,1.2556772652032102
141,1.849348096481403
142,1.3349076707530962
143,1.8346806082188964
144,1.6388102673638423
145,1.8567237609946867
146,1.2490558611804607
147,1.879760874904211
148,1.1095759256386617
149,1.7988294461686827
150,1.7527270417843452
151,1.5641069283615645
152,1.769590057085371
153,1.7847106543023104
154,0.24201970801929
155,1.6041339000792676
156,1.8300622356556966
157,-0.16227784635309936
158,1.8717814515372153
159,0.18445048554577995
160,1.6496763232924543
161,1.8175509259498481
162,0.29737215162916203
163,1.7553934063579997
164,1.7857985485987946
165,1.452911520037255
166,1.5437834388756795
167,-0.2874302378788616
168,1.429290311920275
169,-0.01491887459267611
170,1.0598055879354944
171,1.237260995325276
172,1.771943425338278
173,-0.40760922925682075
174,-0.5043758655027297
175,0.34832181543630575
176,-0.3412534250010847
177,1.5660499122650091
178,-0.8293516267342677
179,0.026421260335337007
180,-0.9902496912207938
181,-0.9902496912207938
182,-0.9902496912207938
183,-0.9902496912207938
184,-0.9902496912207938
185,-0.8772543301288508
186,-0.9247730490356357
187,-0.9902496912207938
188,-0.9902496912207938
189,-0.9902496912207938
190,-0.9902496912207938
191,-0.9902496912207938
192,-0.9902496912207938
193,-0.8278766396323678
194,-0.9853910680064563
195,-0.9902496912207938
196,-0.9902496912207938
197,-0.9902496912207938
198,-0.9902496912207938
199,-0.9902496912207938
200,-0.9902496912207938
201,-0.9902496912207938
202,-0.9902496912207938
203,-0.9902496912207938
204,-0.9902496912207938
205,-0.9902496912207938
206,-0.9902496912207938
207,-0.9902496912207938
208,-0.9902496912207938
209,-0.9902496912207938
210,-0.9902496912207938
211,-0.9902496912207938
212,-0.9902496912207938
213,-0.9902496912207938
214,-0.9902496912207938
