,Particulate Microcystin (µg/L)
0,1.8436805308063344
1,-0.6512880536280876
2,-0.9641029890013384
3,1.3979971045149384
4,0.21774937844326908
5,-0.9641029890013384
6,-0.3838671873928667
7,-0.9641029890013384
8,-0.9641029890013384
9,-0.5594382500613343
10,-0.1255933570707383
11,-0.9641029890013384
12,1.8022029177392045
13,-0.9423813501936414
14,0.7693128378396833
15,1.2738101158249329
16,-0.9641029890013384
17,1.4018776533819948
18,-0.9641029890013384
19,0.180866261701812
20,1.039186731363233
21,1.754038320186849
22,-0.9641029890013384
23,-0.3838671873928667
24,1.582207900604078
25,-0.3838671873928667
26,1.528546034139033
27,-0.3468505746422647
28,1.7635438768825868
29,-0.3838671873928667
30,-0.9173838541425611
31,-0.3838671873928667
32,-0.9641029890013384
33,1.5208209827478933
34,-0.3838671873928667
35,-0.9641029890013384
36,-0.9641029890013384
37,-0.9641029890013384
38,-0.9641029890013384
39,0.40014903184603
40,-0.9641029890013384
41,1.2346676922802509
42,1.3877531698868042
43,-0.9641029890013384
44,-0.9641029890013384
45,-0.9641029890013384
46,-0.9641029890013384
47,1.9444332922431213
48,-0.9641029890013384
49,-0.6831775198199296
50,-0.8251445149471232
51,0.8878463934350785
52,1.6980388716231525
53,1.5128517934634895
54,-0.418054703444827
55,0.5577454241554693
56,-0.817615429450867
57,-0.031916362216865286
58,-0.7829326434293206
59,-0.9316231233035963
60,1.2589116286301434
61,0.3530412740424074
62,-0.9641029890013384
63,-0.9641029890013384
64,-0.3838671873928667
65,-0.9641029890013384
66,-0.9641029890013384
67,-0.9641029890013384
68,-0.9641029890013384
69,-0.9641029890013384
70,-0.5203636960413626
71,1.54207628508616
72,0.9694684598164951
73,1.5334060815301427
74,-0.9641029890013384
75,-0.9641029890013384
76,-0.817615429450867
77,1.686212123527932
78,1.0934007049309524
79,-0.4452358852025324
80,-0.9641029890013384
81,1.3537007978411342
82,1.6290020989660008
83,1.6062206812395041
84,0.3550121186177897
85,-0.5822391765226692
86,-0.8059720645658139
87,0.2103635250885914
88,1.6251395395449857
89,-0.9641029890013384
90,0.07485130218728477
91,-0.9641029890013384
92,-0.9641029890013384
93,-0.9498171508127847
94,-0.4780469938704676
95,-0.5658157625871975
96,-0.0810467396111692
97,0.14869843693206866
98,-0.9641029890013384
99,-0.5133075766844574
100,-0.8530502092694361
101,0.8376131243532863
102,-0.9641029890013384
103,-0.8938420994806469
104,-0.2415583885932831
105,-0.3838671873928667
106,-0.9641029890013384
107,0.9237224944410548
108,0.2137789976220902
109,1.0534612542977007
110,-0.9641029890013384
111,0.4122755229974701
112,1.6368871105755873
113,1.0899583871713754
114,-0.9620548660602265
115,1.7466330513835606
116,-0.9641029890013384
117,-0.19031608940510455
118,-0.8710568042051589
119,-0.6671505313142524
120,-0.9641029890013384
121,0.8260219342431752
122,-0.9641029890013384
123,0.9292905815092267
124,0.11257380465357578
125,1.9454712797547646
126,-0.08624689360252268
127,-0.9641029890013384
128,1.8865697945906448
129,-0.8076303190596243
130,0.9881455678394403
131,0.686655154613495
132,-0.23727280900703315
133,-0.7911234432779283
134,-0.9641029890013384
135,0.9258165513432337
136,8.163595731005459e-05
137,1.810463182643322
138,-0.7157347317000782
139,0.15322522469691802
140,0.7476986674289438
141,-0.9641029890013384
142,-0.9641029890013384
143,-0.9641029890013384
144,0.44140771703023984
145,1.3081377691305875
146,-0.9641029890013384
147,0.6172665772465442
148,0.08259373449848287
149,-0.6785814535144542
150,0.4918848985692152
151,-0.9641029890013384
152,-0.9641029890013384
153,-0.9641029890013384
154,1.4359124524831823
155,1.6510614239534096
156,-0.9641029890013384
157,-0.9641029890013384
158,-0.9641029890013384
159,-0.9641029890013384
160,1.9284701919794218
161,0.22788860010300194
162,1.40610885329186
163,0.18817399025613946
164,-0.9641029890013384
165,1.3667598546343265
166,-0.9641029890013384
167,-0.9641029890013384
168,1.0499905611893872
169,-0.9641029890013384
170,-0.9641029890013384
171,-0.9641029890013384
172,1.9436081414935908
173,-0.3838671873928667
174,0.6740332283263732
175,-0.1567449963643338
176,0.8250323173469981
177,1.748941161147697
178,-0.9641029890013384
179,1.8586174614751743
180,0.6044579232226157
181,-0.7048069227022905
182,1.5934414605103044
183,-0.8001814507238687
184,1.1325895031689663
185,-0.6200471974889242
186,-0.13795979150402762
187,-0.9641029890013384
188,0.03495223868022455
189,0.294039194744811
190,-0.3838671873928667
191,0.5861717918608697
192,-0.637820784226757
193,0.10801475571272412
194,-0.6628081864037847
195,1.8181243352036258
196,0.23347813630240669
197,-0.9641029890013384
198,0.44364424824192006
199,-0.8045224766285496
200,-0.9641029890013384
201,-0.9641029890013384
202,1.5164364719681178
203,-0.9641029890013384
204,-0.9641029890013384
205,1.6243653562037614
206,-0.9641029890013384
207,-0.9641029890013384
208,-0.9641029890013384
209,-0.899751589736379
210,-0.9641029890013384
211,-0.7281198707378825
212,0.4391014074455554
213,-0.9459825494786622
214,1.6929508145163923
215,-0.9641029890013384
216,1.609820941746917
217,-0.9641029890013384
218,1.1248095499936068
219,-0.9641029890013384
220,-0.9357716659564734
221,1.278376217007603
222,-0.7063633893446453
223,1.050487769049274
224,-0.10727484743039079
225,-0.9641029890013384
226,1.8664127029583244
227,-0.9641029890013384
228,1.7367102707785103
229,-0.9641029890013384
230,-0.0001160408006968511
231,-0.9641029890013384
232,-0.9641029890013384
233,0.8911728830150274
234,-0.3838671873928667
235,-0.9641029890013384
236,0.7432645668894313
237,-0.3838671873928667
238,0.8319951509998553
239,-0.9641029890013384
240,-0.4452358852025324
241,-0.9641029890013384
242,0.7403444096174435
243,0.3011464740237308
244,-0.9641029890013384
245,-0.7346462725477219
246,-0.9641029890013384
247,-0.9641029890013384
248,-0.28466530242254334
249,-0.9641029890013384
250,-0.9641029890013384
251,-0.9641029890013384
252,-0.9641029890013384
253,-0.9641029890013384
254,-0.9641029890013384
255,-0.5594382500613343
