,Particulate Microcystin (µg/L)
0,1.7562585502862276
1,-0.9598820075125293
2,-0.9598820075125293
3,0.46010873070950864
4,-0.3743978882240089
5,-0.9598820075125293
6,0.5773222636176948
7,0.9971548923375434
8,-0.43163288687028695
9,-0.634034234676574
10,1.7265034769831955
11,1.7999000261661648
12,-0.9598820075125293
13,-0.36580050494927097
14,1.7606485275656685
15,1.5918818956450984
16,-0.9598820075125293
17,-0.9598820075125293
18,0.1443187760641672
19,-0.7850641195754327
20,1.209733302113704
21,-0.9598820075125293
22,1.4720486398195285
23,0.5099841865676649
24,0.4885045962414912
25,1.5185837890164238
26,-0.9598820075125293
27,0.640828327084343
28,0.8909479672120102
29,-0.6186175117917091
30,0.6249589072630759
31,1.2693489245384513
32,-0.9065310299825919
33,-0.9598820075125293
34,-0.6919343308637366
35,-0.24307050119314214
36,-0.04824430516947312
37,1.583644929279663
38,-0.9598820075125293
39,-0.7042432828575171
40,-0.9598820075125293
41,-0.3153352216688961
42,-0.8960604737706388
43,-0.5007204805148093
44,-0.4030332015131093
45,1.4827595605261221
46,-0.8497414483136773
47,-0.596863780846309
48,-0.7801944313954279
49,-0.9598820075125293
50,0.902140800402959
51,1.0775616876304224
52,-0.9598820075125293
53,-0.9598820075125293
54,1.6263518893768723
55,-0.9598820075125293
56,1.6656157860961345
57,-0.36580050494927097
58,-0.9598820075125293
59,0.618328356830447
60,-0.9598820075125293
61,-0.9598820075125293
62,-0.9598820075125293
63,1.4118427647389904
64,0.5116140687041328
65,-0.7465160786428124
66,1.777925909088371
67,1.2640723078856342
68,-0.9598820075125293
69,0.8488436247926118
70,-0.9598820075125293
71,-0.6544337974203767
72,-0.9065310299825919
73,-0.9598820075125293
74,-0.9598820075125293
75,-0.36580050494927097
76,-0.9598820075125293
77,1.4730180624292948
78,1.5204784574533283
79,1.2095817407921945
80,0.2956997559522672
81,-0.36580050494927097
82,1.1520013930301993
83,-0.2565296535053735
84,1.7538629689340606
85,-0.9598820075125293
86,0.9399412501786722
87,0.2173694961304205
88,-0.9598820075125293
89,-0.6186175117917091
90,0.14851436985103172
91,0.7611112797496101
92,-0.11554992974783784
93,-0.8856551019586246
94,1.2977913513045467
95,-0.8320739787525613
96,-0.36580050494927097
97,-0.9598820075125293
98,-0.5438309946959591
99,0.3575817355755714
100,0.07099986660878355
101,0.6786698097998148
102,-0.9598820075125293
103,-0.9598820075125293
104,1.6526134252593037
105,-0.9598820075125293
106,-0.8978010242751319
107,1.1415321945834884
108,0.2482325336719722
109,-0.24307050119314214
110,-0.9598820075125293
111,-0.9598820075125293
112,-0.30827891375633887
113,-0.9598820075125293
114,1.6551966963566602
115,-0.36580050494927097
116,-0.36580050494927097
