Date,Site_WE12,Site_WE13,Site_WE14,Site_WE15,Site_WE16,Site_WE2,Site_WE4,Site_WE6,Site_WE8,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,CTD Temperature (°C),CTD Dissolved Oxygen (mg/L),Particulate Microcystin (µg/L),Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),N:P Mass Ratio,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_1wk,CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_1wk,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Dissolved Phosphorus (µg P/L)_1wk,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_1wk,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_1wk,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_1wk,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks
2012-05-31,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,42.01,12.29,14.68,0.466,11.092597000714116,13.575315478908337,0.055211797438447084,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,41.06090909090909,11.887272727272727,14.60909090909091,0.4646363636363637,11.382880390259587,13.57324868822489,0.05522470026720296,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,40.11181818181818,11.484545454545454,14.538181818181817,0.4632727272727273,11.673163779805057,13.571181897541445,0.055237603095958834,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-03,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,39.162727272727274,11.081818181818182,14.467272727272727,0.46190909090909094,11.963447169350525,13.569115106857998,0.05525050592471471,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-04,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,38.21363636363636,10.67909090909091,14.396363636363636,0.4605454545454546,12.253730558895995,13.567048316174551,0.055263408753470585,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-05,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,37.264545454545456,10.276363636363637,14.325454545454546,0.4591818181818182,12.544013948441465,13.564981525491104,0.05527631158222646,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-06,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,36.31545454545454,9.873636363636363,14.254545454545454,0.45781818181818185,12.834297337986936,13.56291473480766,0.055289214410982335,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,35.36636363636364,9.47090909090909,14.183636363636364,0.45645454545454545,13.124580727532406,13.560847944124212,0.05530211723973821,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,12.29,12.29,12.29,12.29,14.68,14.68,14.68,14.68,0.466,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-08,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,34.417272727272724,9.068181818181818,14.112727272727273,0.4550909090909091,13.414864117077876,13.558781153440766,0.055315020068494085,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,11.887272727272727,12.29,12.29,12.29,14.60909090909091,14.68,14.68,14.68,0.4646363636363637,0.466,0.466,0.466,11.382880390259587,11.092597000714116,11.092597000714116,11.092597000714116
2012-06-09,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22.5,7.651666666666666,0.1,33.46818181818182,8.665454545454546,14.041818181818183,0.45372727272727276,13.705147506623344,13.556714362757319,0.05532792289724996,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,11.484545454545454,12.29,12.29,12.29,14.538181818181817,14.68,14.68,14.68,0.4632727272727273,0.466,0.466,0.466,11.673163779805057,11.092597000714116,11.092597000714116,11.092597000714116
