timestamp,wave_height,wave_direction,wave_period,wind_speed,wind_direction,water_temperature,conductivity,specific_conductivity,total_dissolved_solids,ph,ph_mV,oxidation_reduction_potential,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_qsu,turbidity,chlorophylla_rfu,chlorophylla,phycocyanin_rfu,phycocyanin,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,depth,turbidity_c6,phycoerythrin_c6,phycocyanin_c6,chlorophylla_c6,colored_dissolved_organic_matter_c6,depth_c6,water_temperature_c6
UTC,meter,degrees,seconds,meters per second,degrees,degrees Celsius,micorosiemens per centimeter,micorosiemens per centimeter,milligrams per liter,NAN,millivolts,millivolts,RFU,quinine sulfate units,FNU,RFU,micrograms per liter,RFU,micrograms per liter,%,milligrams per liter,meter,NTU,RFU,RFU,RFU,ppb,meter,degrees Celsius
data logger,GLCFS hindcast model,GLCFS hindcast model,GLCFS hindcast model,GLCFS hindcast model,GLCFS hindcast model,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,YSI EXO2,Turner C-6,Turner C-6,Turner C-6,Turner C-6,Turner C-6,Turner C-6,Turner C-6
5/22/2014 22:00,0.0809,59.5299,1.2181,4.1459,267.2912,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.1325,367.7,21.71,592.2,862.8,3.4475,17.19
5/22/2014 23:00,0.0777,63.6425,1.2024,4.0824,275.8586,17.13425,301.925,355.325,230.75,8.2975,-92.85,228.85,3.95,11.8575,3.0275,0.8175,3.19,-0.49,-0.49,114,10.975,3.6265,3.1175,363.9,10.16,662.6,799,3.43,17.1175
5/23/2014 0:00,0.0755,67.8831,1.1671,4.3341,286.8209,17.06825,296.85,349.85,227.5,8.2875,-92.075,231.35,3.4475,10.3375,2.94,0.8775,3.4225,-0.4875,-0.4875,113.3,10.9225,3.62525,3.01,328.56,9.31,517,761.7,3.43,17.055
5/23/2014 1:00,0.0729,72.8111,1.1745,3.7134,284.4849,17.01325,294.05,347,225.5,8.2725,-91.325,231.6,3.1625,9.4925,3.01,0.79,3.0775,-0.515,-0.515,112.3,10.8425,3.6355,3.3,275.49,8.81,697.7,740.1,3.5,17
5/23/2014 2:00,0.0773,80.0196,1.1724,4.876,287.9918,16.971,298,351.975,228.75,8.2625,-90.925,231.575,3.6675,11,3.0925,0.7975,3.1075,-0.525,-0.525,111.675,10.7875,3.66,3.18,303.81,8.52,545.8,781.1,3.5,16.9575
5/23/2014 3:00,0.0865,84.6369,1.2276,3.9455,272.0662,16.87375,293.8,347.775,226.25,8.2375,-89.35,231,3.3225,9.9725,2.975,0.76,2.9625,-0.53,-0.53,110.2,10.6675,3.68625,3.1075,302.59,7.35,545.4,754.9,3.5,16.8625
5/23/2014 4:00,0.0851,87.2699,1.2615,3.9104,293.9999,16.735,277.325,329.275,213.75,8.23,-89.025,234.95,1.6625,4.99,2.88,0.6275,2.4225,-0.57,-0.57,109.9,10.67,3.71175,2.9575,242.17,6.77,428.2,620.2,3.53,16.7225
5/23/2014 5:00,0.0787,88.5117,1.22,3.4799,278.969,16.573,266.625,317.75,206.75,8.2275,-88.6,234.8,0.73,2.185,2.7425,0.63,2.4375,-0.5875,-0.5875,109.375,10.6575,3.7215,2.915,238.57,5.78,416.8,545.2,3.56,16.565
5/23/2014 6:00,0.0694,87.8469,1.126,3.6093,244.3076,16.50425,263.45,314.525,204.5,8.2175,-88.05,233.55,0.4875,1.46,2.755,0.5125,1.9475,-0.5925,-0.5925,108.325,10.5675,3.70025,2.935,228.26,6.01,309.83,525.7,3.53,16.495
5/23/2014 7:00,0.0711,85.9983,1.1044,4.2682,264.3856,16.418,259.6,310.475,202,8.1925,-86.6,234.725,0.165,0.4875,2.8975,0.445,1.685,-0.6025,-0.6025,107.375,10.4975,3.697,3.09,217.34,5.2,282.34,498.8,3.515,16.41
