timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,pH,pH_flags,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen_saturation_flags,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags,turbidity_c6,turbidty_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temp_c6,water_temp_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,meters,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,pH,NAN,NTU,NAN,%,NAN,milligrams per liter,NAN,RFU,NAN,RFU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meters,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
6/2/2015 15:46,7.6,1 1 1 1,5.12,1 1 1 1,57.14,1 2 1 2,13.56,1 1 1 1,1023,1 1 1 1,1.037,1 1 1 1,18.09,1 1 1 1,332,1 1 1 1,8.11,1 1 1 1,16.03,1 1 1 1,92.5,1 1 1 1,8.73,1 1 1 1,0.487,1 1 1 1,-2.501,4 1 1 1,4.618,1 1 1 1,16.3,1 1 1 1,251.6,1 1 1 1,39.84,1 1 1 1,439.16,1 1 1 1,479.92,1 1 1 1,1.09,1 2 2 2,18.52,1 2 2 2
6/2/2015 16:01,7.2,1 1 1 1,5.16,1 1 1 1,61.64,1 2 1 2,13.73,1 1 1 1,1022.957,1 1 1 1,1.04,1 1 1 1,18.13,1 1 1 1,334.5,1 1 1 1,8.11,1 1 3 1,15.95,1 1 1 1,92.5,1 1 1 1,8.73,1 1 1 1,0.508,1 1 1 1,-2.515,4 1 1 1,4.804,1 1 1 1,17.94,1 1 1 1,285.84,1 1 1 1,52.04,1 1 1 1,481.8,1 1 1 1,490.96,1 1 1 1,1.09,1 2 2 2,18.59,1 2 2 2
6/2/2015 16:16,8.1,1 1 1 1,5.97,1 1 1 1,68,1 2 1 2,13.86,1 1 1 1,1022.929,1 1 4 1,1.04,1 1 1 1,18.19,1 1 1 1,336.5,1 1 1 1,8.11,1 1 3 1,15.4,1 1 1 1,92.7,1 1 1 1,8.73,1 1 1 1,0.498,1 1 1 1,-2.532,4 1 1 1,4.99,1 1 1 1,15.86,1 1 1 1,269.36,1 1 1 1,46.4,1 1 1 1,410.24,1 1 1 1,491.76,1 1 1 1,1.09,1 2 2 2,18.66,1 2 2 2
6/2/2015 16:31,8.5,1 1 1 1,5.909,1 1 1 1,73.14,1 2 1 2,13.95,1 1 1 1,1023.011,1 1 4 1,1.04,1 1 1 1,18.2,1 1 1 1,341.3,1 1 1 1,8.11,1 1 3 1,15.37,1 1 1 1,92.5,1 1 1 1,8.72,1 1 1 1,0.538,1 1 1 1,-2.468,4 1 1 1,5.42,1 1 1 1,16.15,1 1 1 1,310.8,1 1 1 1,45.92,1 1 1 1,524.4,1 1 1 1,538.72,1 1 1 1,1.09,1 2 2 2,18.62,1 2 2 2
6/2/2015 16:46,8.4,1 1 1 1,5.563,1 1 1 1,72.41,1 2 1 2,14.01,1 1 1 1,1022.976,1 1 4 1,1.037,1 1 1 1,18.23,1 1 1 1,343.4,1 1 1 1,8.12,1 1 1 1,15.12,1 1 1 1,92.7,1 1 1 1,8.72,1 1 1 1,0.539,1 1 1 1,-2.467,4 1 1 1,5.599,1 1 1 1,16.09,1 1 1 1,310.04,1 1 1 1,63.32,1 1 1 1,471.36,1 1 1 1,540.08,1 1 1 1,1.09,1 2 2 2,18.7,1 2 2 2
6/2/2015 17:01,8.3,1 1 1 1,5.737,1 1 1 1,69.83,1 2 1 2,14.09,1 1 1 1,1022.95,1 1 4 1,1.032,1 1 1 1,18.26,1 1 1 1,347.4,1 1 1 1,8.11,1 1 1 1,15.27,1 1 1 1,92.5,1 1 1 1,8.71,1 1 1 1,0.59,1 1 1 1,-2.489,4 1 1 1,5.949,1 1 1 1,16.89,1 1 1 1,239.96,1 1 1 1,42.08,1 1 1 1,504.4,1 1 1 1,543.08,1 1 1 1,1.09,1 2 2 2,18.74,1 2 2 2
6/2/2015 17:16,7.3,1 1 1 1,5.521,1 1 1 1,70.83,1 2 1 2,14.13,1 1 1 1,1022.978,1 1 4 1,1.031,1 1 1 1,18.31,1 1 1 1,344.5,1 1 1 1,8.12,1 1 1 1,15.01,1 1 1 1,92.9,1 1 1 1,8.73,1 1 1 1,0.563,1 1 1 1,-2.556,4 1 1 1,5.654,1 1 1 1,15.12,1 1 1 1,270.24,1 1 1 1,52.96,1 1 1 1,437.32,1 1 1 1,499.28,1 1 1 1,1.09,1 2 2 2,18.74,1 2 2 2
6/2/2015 17:31,7.4,1 1 1 1,5.498,1 1 1 1,75.8,1 2 1 2,14.22,1 1 4 1,1022.833,1 1 1 1,1.03,1 1 1 1,18.34,1 1 1 1,339.8,1 1 1 1,8.12,1 1 3 1,14.97,1 1 1 1,93.4,1 1 1 1,8.78,1 1 1 1,0.519,1 1 1 1,-2.511,4 1 1 1,5.242,1 1 1 1,15.16,1 1 1 1,250.64,1 1 1 1,38.92,1 1 1 1,489.4,1 1 1 1,534.24,1 1 1 1,1.09,1 2 2 2,18.77,1 2 2 2
6/2/2015 17:46,7.7,1 1 1 1,5.473,1 1 1 1,82.3,1 2 1 2,14.14,1 1 4 1,1022.666,1 1 1 1,1.029,1 1 1 1,18.35,1 1 1 1,345,1 1 1 1,8.12,1 1 3 1,15.29,1 1 1 1,93.6,1 1 1 1,8.79,1 1 1 1,0.554,1 1 1 1,-2.469,4 1 1 1,5.658,1 1 1 1,15.26,1 1 1 1,285.48,1 1 1 1,58.8,1 1 1 1,517.2,1 1 1 1,525.44,1 1 1 1,1.09,1 2 2 2,18.85,1 2 2 2
6/2/2015 18:01,7.8,1 1 1 1,5.747,1 1 1 1,84.8,1 2 1 2,14.15,1 1 4 1,1022.492,1 1 1 1,1.03,1 1 1 1,18.42,1 1 1 1,344.6,1 1 1 1,8.12,1 1 3 1,14.77,1 1 1 1,93.9,1 1 1 1,8.8,1 1 1 1,0.557,1 1 1 1,-2.483,4 1 1 1,5.632,1 1 1 1,16.4,1 1 1 1,235.64,1 1 1 1,39.92,1 1 1 1,462.24,1 1 1 1,520.16,1 1 1 1,1.09,1 2 2 2,18.9,1 2 2 2
