timestamp,phosphate,phosphate_flags,run_number,run_number_flags
UTC,micrograms per liter,NAN,NAN,NAN
data logger,Seabird/Wetlabs CycleP,NAN,Seabird/Wetlabs CycleP,NAN
6/2/2015 18:05,14.2,1 1 2 1 1,91,4 2 2 2
6/3/2015 20:52,4.5,1 1 2 1 1,16,4 2 2 2
6/6/2015 0:05,26,1 1 2 1 1,1,4 2 2 2
6/6/2015 1:05,27.1,1 1 2 1 1,2,4 2 2 2
6/6/2015 2:05,25,1 1 2 1 1,3,4 2 2 2
6/6/2015 3:05,27.5,1 1 2 1 1,4,4 2 2 2
6/6/2015 4:05,28.3,1 1 2 1 1,5,4 2 2 2
6/6/2015 5:05,29.4,1 1 2 1 1,6,4 2 2 2
6/6/2015 6:05,35.1,1 1 2 1 1,7,4 2 2 2
6/6/2015 8:05,36.9,1 1 2 1 1,9,4 2 2 2
6/6/2015 9:05,36.1,1 1 2 1 1,10,4 2 2 2
6/6/2015 10:05,36.8,1 1 2 1 1,11,4 2 2 2
6/6/2015 11:05,36.3,1 1 2 1 1,12,4 2 2 2
6/6/2015 12:05,36.7,1 1 2 1 1,13,4 2 2 2
6/6/2015 13:05,37.7,1 1 2 1 1,14,4 2 2 2
6/6/2015 14:05,37.7,1 1 2 1 1,15,4 2 2 2
6/6/2015 16:05,41.5,1 1 2 1 1,17,4 2 2 2
6/6/2015 17:05,42.7,1 1 2 1 1,18,4 2 2 2
6/6/2015 18:05,42.8,1 1 2 1 1,19,4 2 2 2
6/6/2015 19:05,47,1 1 2 1 1,20,4 2 2 2
6/6/2015 20:05,48.9,1 1 2 1 1,21,4 2 2 2
6/6/2015 21:05,48.1,1 1 2 1 1,22,4 2 2 2
6/6/2015 22:05,46.2,1 1 2 1 1,23,4 2 2 2
6/7/2015 0:05,47,1 1 2 1 1,25,4 2 2 2
6/7/2015 1:05,46.9,1 1 2 1 1,26,4 2 2 2
6/7/2015 2:05,49.3,1 1 2 1 1,27,4 2 2 2
6/7/2015 3:05,49.5,1 1 2 1 1,28,4 2 2 2
6/7/2015 4:05,55,1 1 2 1 1,29,4 2 2 2
6/7/2015 5:05,57.7,1 1 2 1 1,30,4 2 2 2
6/7/2015 6:05,61.2,1 1 2 1 1,31,4 2 2 2
6/7/2015 8:05,60.8,1 1 2 1 1,33,4 2 2 2
6/7/2015 9:05,58.1,1 1 2 1 1,34,4 2 2 2
6/7/2015 10:05,59.2,1 1 2 1 1,35,4 2 2 2
6/7/2015 11:05,59.4,1 1 2 1 1,36,4 2 2 2
6/7/2015 12:05,62.8,1 1 2 1 1,37,4 2 2 2
6/7/2015 13:05,63.9,1 1 2 1 1,38,4 2 2 2
6/7/2015 14:05,65.7,1 1 2 1 1,39,4 2 2 2
6/7/2015 16:05,63.1,1 1 2 1 1,41,4 2 2 2
6/7/2015 17:05,62.7,1 1 2 1 1,42,4 2 2 2
6/7/2015 18:05,79.2,1 1 2 1 1,43,4 2 2 2
6/7/2015 19:05,81.1,1 1 2 1 1,44,4 2 2 2
6/7/2015 20:05,79.9,1 1 2 1 1,45,4 2 2 2
6/7/2015 21:05,77.2,1 1 2 1 1,46,4 2 2 2
6/7/2015 22:05,74.5,1 1 2 1 1,47,4 2 2 2
6/8/2015 0:05,67.6,1 1 2 1 1,49,4 2 2 2
6/8/2015 1:05,61.1,1 1 2 1 1,50,4 2 2 2
6/8/2015 2:05,58.4,1 1 2 1 1,51,4 2 2 2
6/8/2015 3:05,56.1,1 1 2 1 1,52,4 2 2 2
6/8/2015 4:05,50.6,1 1 2 1 1,53,4 2 2 2
6/8/2015 5:05,46.2,1 1 2 1 1,54,4 2 2 2
6/8/2015 6:05,43.9,1 1 2 1 1,55,4 2 2 2
6/8/2015 8:05,41.9,1 1 2 1 1,57,4 2 2 2
6/8/2015 9:05,43.2,1 1 2 1 1,58,4 2 2 2
6/8/2015 10:05,38.7,1 1 2 1 1,59,4 2 2 2
6/8/2015 11:05,33.8,1 1 2 1 1,60,4 2 2 2
6/8/2015 12:05,30.8,1 1 2 1 1,61,4 2 2 2
6/8/2015 13:05,30.6,1 1 2 1 1,62,4 2 2 2
6/8/2015 14:05,29.7,1 1 2 1 1,63,4 2 2 2
6/8/2015 16:05,29.6,1 1 2 1 1,65,4 2 2 2
6/8/2015 17:05,29.4,1 1 2 1 1,66,4 2 2 2
6/8/2015 18:05,29.7,1 1 2 1 1,67,4 2 2 2
6/8/2015 19:05,30.2,1 1 2 1 1,68,4 2 2 2
6/8/2015 20:05,29.6,1 1 2 1 1,69,4 2 2 2
6/8/2015 21:05,29.3,1 1 2 1 1,70,4 2 2 2
6/8/2015 22:05,29.7,1 1 2 1 1,71,4 2 2 2
6/9/2015 0:05,29.8,1 1 2 1 1,73,4 2 2 2
6/9/2015 1:05,29.7,1 1 2 1 1,74,4 2 2 2
6/9/2015 2:05,29.3,1 1 2 1 1,75,4 2 2 2
6/9/2015 3:05,29.8,1 1 2 1 1,76,4 2 2 2
6/9/2015 4:05,30.1,1 1 2 1 1,77,4 2 2 2
6/9/2015 5:05,30.5,1 1 2 1 1,78,4 2 2 2
6/9/2015 6:05,30.3,1 1 2 1 1,79,4 2 2 2
6/9/2015 8:05,30.3,1 1 2 1 1,81,4 2 2 2
6/9/2015 9:05,29.9,1 1 2 1 1,82,4 2 2 2
6/9/2015 10:05,31.6,1 1 2 1 1,83,4 2 2 2
6/9/2015 11:05,30.7,1 1 2 1 1,84,4 2 2 2
6/9/2015 12:05,29.7,1 1 2 1 1,85,4 2 2 2
6/9/2015 13:05,30.3,1 1 2 1 1,86,4 2 2 2
6/9/2015 14:05,30.7,1 1 2 1 1,87,4 2 2 2
6/9/2015 16:05,31.3,1 1 2 1 1,89,4 2 2 2
6/9/2015 17:05,31,1 1 2 1 1,90,4 2 2 2
6/9/2015 18:05,30.4,1 1 2 1 1,91,4 2 2 2
6/9/2015 19:05,30.7,1 1 2 1 1,92,4 2 2 2
6/9/2015 20:05,29.9,1 1 2 1 1,93,4 2 2 2
6/9/2015 21:05,30.2,1 1 2 1 1,94,4 2 2 2
6/9/2015 22:05,30.1,1 1 2 1 1,95,4 2 2 2
6/10/2015 0:05,37.8,1 1 2 1 1,97,4 2 2 2
6/10/2015 1:05,41.5,1 1 2 1 1,98,4 2 2 2
6/10/2015 2:05,56.3,1 1 2 1 1,99,4 2 2 2
6/10/2015 3:05,65.9,1 1 2 1 1,100,4 2 2 2
6/10/2015 4:05,60.1,1 1 2 1 1,101,4 2 2 2
6/10/2015 5:05,43.6,1 1 2 1 1,102,4 2 2 2
6/10/2015 6:05,35.1,1 1 2 1 1,103,4 2 2 2
6/10/2015 8:05,32.8,1 1 2 1 1,105,4 2 2 2
6/10/2015 9:05,32.1,1 1 2 1 1,106,4 2 2 2
6/10/2015 10:05,31.3,1 1 2 1 1,107,4 2 2 2
6/10/2015 11:05,31.7,1 1 2 1 1,108,4 2 2 2
6/10/2015 12:05,31.6,1 1 2 1 1,109,4 2 2 2
6/10/2015 13:05,30.8,1 1 2 1 1,110,4 2 2 2
6/10/2015 14:05,31.1,1 1 2 1 1,111,4 2 2 2
6/10/2015 16:05,32.5,1 1 2 1 1,113,4 2 2 2
6/10/2015 17:05,32.4,1 1 2 1 1,114,4 2 2 2
6/10/2015 18:05,32.1,1 1 2 1 1,115,4 2 2 2
6/10/2015 19:05,32.7,1 1 2 1 1,116,4 2 2 2
6/10/2015 20:05,32.5,1 1 2 1 1,117,4 2 2 2
6/10/2015 21:05,32.2,1 1 2 1 1,118,4 2 2 2
6/10/2015 22:05,32.6,1 1 2 1 1,119,4 2 2 2
6/11/2015 0:05,31.4,1 1 2 1 1,121,4 2 2 2
6/11/2015 1:05,29.3,1 1 2 1 1,122,4 2 2 2
6/11/2015 2:05,26.2,1 1 2 1 1,123,4 2 2 2
6/11/2015 3:05,23.7,1 1 2 1 1,124,4 2 2 2
6/11/2015 4:05,25.5,1 1 2 1 1,125,4 2 2 2
6/11/2015 5:05,26,1 1 2 1 1,126,4 2 2 2
6/11/2015 6:05,27.4,1 1 2 1 1,127,4 2 2 2
6/11/2015 8:05,27.8,1 1 2 1 1,129,4 2 2 2
6/11/2015 9:05,24.9,1 1 2 1 1,130,4 2 2 2
6/11/2015 10:05,23.9,1 1 2 1 1,131,4 2 2 2
6/11/2015 11:05,22.1,1 1 2 1 1,132,4 2 2 2
6/11/2015 12:05,20.5,1 1 2 1 1,133,4 2 2 2
6/11/2015 13:05,20.7,1 1 2 1 1,134,4 2 2 2
6/11/2015 14:05,19.6,1 1 2 1 1,135,4 2 2 2
6/11/2015 16:05,19.5,1 1 2 1 1,137,4 2 2 2
6/11/2015 17:05,19.4,1 1 2 1 1,138,4 2 2 2
6/11/2015 18:05,19.2,1 1 2 1 1,139,4 2 2 2
6/11/2015 19:05,19.7,1 1 2 1 1,140,4 2 2 2
6/11/2015 20:05,25.2,1 1 2 1 1,141,4 2 2 2
