timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,depth,depth_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,ph,ph_mV,turbidity,turbidity_flags,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,organic_dissolved_oxygen,organic_dissolved_oxygen_flags,chlorophylla,chlorophylla_flags,phycocyanin,phycocyanin_flags,flourescent_dissolved_organic_matter,flourescent_dissolved_organic_matter_flags,turbidity_c6,turbidity_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temperature_c6,water_temperature_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,meters,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,NAN,millivolts,NTU,NAN,%,milligrams per liter,milligrams per liter,NAN,RFU,NAN,RFU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meter,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,YSI EXO2,YSI EXO2,NAN,YSI EXO2,YSI EXO2,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,YSI EXO2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
6/12/2015 15:31,2.5,1 1 1 1,1.654,1 1 1 1,64.06,1 2 1 2,19.85,1 1 1 1,1009.452,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.71,1 1 1 1,206.64,1 1 1 1,16.64,1 1 1 1,550.4,1 1 1 1,135.28,1 1 1 1,1.16,1 2 2 2,19.84,1 2 2 2
6/12/2015 15:46,2.1,1 1 1 1,1.249,1 1 1 1,23.55,1 2 1 2,20.52,1 1 1 1,1009.74,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.6,1 1 1 1,177.36,1 1 1 1,25.04,1 1 1 1,454.24,1 1 1 1,135.12,1 1 1 1,1.1,1 2 2 2,19.76,1 2 2 2
6/12/2015 16:01,3.1,1 1 1 1,1.852,1 1 1 1,338.8,1 2 1 2,20.56,1 1 1 1,1009.855,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.53,1 1 1 1,221.6,1 1 1 1,21.64,1 1 1 1,717.6,1 1 1 1,141.76,1 1 1 1,1.1,1 2 2 2,19.9,1 2 2 2
6/12/2015 16:16,3.5,1 1 1 1,1.661,1 1 1 1,344.4,1 2 1 2,20.04,1 1 1 1,1010.054,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.69,1 1 1 1,204.08,1 1 1 1,20.64,1 1 1 1,604,1 1 1 1,144.04,1 1 1 1,1.16,1 2 2 2,19.92,1 2 2 2
6/12/2015 16:31,4.4,1 1 1 1,1.838,1 1 1 3,265.3,1 2 1 2,20.64,1 1 1 1,1010.137,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.32,1 1 1 1,227.52,1 1 1 1,22.92,1 1 1 1,797.2,1 1 1 1,136.08,1 1 1 1,1.1,1 2 2 2,20,1 2 2 2
6/12/2015 16:46,8,1 1 1 1,5.808,1 1 1 1,257,1 2 1 2,21.85,1 1 1 1,1010.118,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.36,1 1 1 1,190.48,1 1 1 1,18.04,1 1 1 1,473.6,1 1 1 1,137.2,1 1 1 1,1.1,1 2 2 2,19.9,1 2 2 2
6/12/2015 17:01,8.7,1 1 1 1,7.06,1 1 1 1,250.1,1 2 1 2,22.21,1 1 1 1,1009.944,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.28,1 1 1 1,186.44,1 1 1 1,22.52,1 1 1 1,557.6,1 1 1 1,136.8,1 1 1 1,1.16,1 2 2 2,19.97,1 2 2 2
6/12/2015 17:16,7.6,1 1 1 1,5.52,1 1 1 1,244.3,1 2 1 2,22.05,1 1 1 1,1009.885,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.2,1 1 1 1,219.36,1 1 1 1,28.92,1 1 1 1,631.2,1 1 1 1,137.68,1 1 1 1,1.03,1 2 2 2,19.99,1 2 2 2
6/12/2015 17:31,7.2,1 1 1 1,5.741,1 1 1 1,252.9,1 2 1 2,22.17,1 1 1 1,1009.752,1 1 1 1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.15,1 1 1 1,195.92,1 1 1 1,19.64,1 1 1 1,515.6,1 1 1 1,130,1 1 1 1,1.1,1 2 2 2,20.02,1 2 2 2
