timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,depth,depth_flags,turbidity,turbidity_flags,chlorophylla,chlorophylla_flags,turbidity_c6,turbidity_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temperature_c6,water_temperature_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,meters,NAN,NTU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meter,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
7/22/2014 0:16,5.6,1 1 1 1,4.531,1 1 1 1,85.8,1 2 1 2,24.62,1 1 1 1,964.131,1 3 1 3,24.8,1 1 1 1,311.9,1 1 1 1,0.924,1 1 1 1,-8.36,4 3 1 1,1.641,1 1 1 1,0,1 3 1 1,0,1 3 1 1,0,1 3 1 1,0,1 3 1 1,0,1 3 1 1,0,1 2 2 2,0,1 2 2 2
7/22/2014 0:31,6.7,1 1 1 1,4.964,1 1 1 1,85.3,1 2 1 2,25.69,1 1 1 1,998.6055,1 1 1 4,24.81,1 1 1 1,311.7,1 1 1 1,0.925,1 1 1 1,-8.59,4 3 1 1,1.682,1 1 1 1,2.35,1 1 1 1,178.92,1 1 1 1,11.52,1 1 1 1,222.96,1 1 1 1,486.8,1 1 1 1,0.62,1 2 2 2,25.24,1 2 2 2
7/22/2014 0:46,6.9,1 1 1 1,5.132,1 1 1 1,90.5,1 2 1 2,25.66,1 1 1 1,998.5777,1 1 1 1,24.8,1 1 1 1,311.4,1 1 1 1,0.921,1 1 1 1,-8.51,4 3 1 1,1.299,1 1 1 4,2.2,1 1 1 1,174.44,1 1 1 1,26.52,1 1 1 1,242.32,1 1 1 1,496,1 1 1 1,0.62,1 2 2 2,25.2,1 2 2 2
7/22/2014 1:01,6.6,1 1 1 1,5.258,1 1 1 1,88.2,1 2 1 2,25.79,1 1 1 1,998.5189,1 1 1 1,24.8,1 1 1 1,311,1 1 1 1,0.919,1 1 1 1,-8.54,4 3 1 1,45.26,1 3 1 4,2.09,1 1 1 1,155.88,1 1 1 1,22.4,1 1 1 1,239.48,1 1 1 1,501.6,1 1 1 1,0.69,1 2 2 2,25.19,1 2 2 2
7/22/2014 1:16,6.4,1 1 1 1,4.983,1 1 1 1,89.2,1 2 1 2,25.95,1 1 1 1,998.4944,1 1 1 1,24.79,1 1 1 1,311,1 1 3 1,0.92,1 1 1 1,-8.48,4 3 1 1,1.498,1 1 1 4,2.88,1 1 1 1,201.28,1 1 1 1,24.24,1 1 1 1,252.88,1 1 1 1,490,1 1 1 1,0.55,1 2 2 2,25.19,1 2 2 2
7/22/2014 1:31,6.4,1 1 1 1,5,1 1 1 1,89.5,1 2 1 2,26.1,1 1 1 1,998.4166,1 1 3 1,24.78,1 1 1 1,311,1 1 3 1,0.921,1 1 1 1,-8.46,4 3 1 1,3.243,1 1 1 4,3.14,1 1 1 1,188.76,1 1 1 1,19.72,1 1 1 1,239.36,1 1 1 1,484.8,1 1 1 1,0.55,1 2 2 2,25.19,1 2 2 2
7/22/2014 1:46,6.4,1 1 1 1,5.257,1 1 1 1,91.5,1 2 1 2,26.1,1 1 3 1,998.4277,1 1 3 1,24.78,1 1 1 1,311,1 1 3 1,0.918,1 1 1 1,-8.54,4 3 1 1,28.3,1 3 1 4,2.73,1 1 1 1,202.28,1 1 1 1,43.72,1 1 1 1,273,1 1 1 1,497.6,1 1 1 1,0.55,1 2 2 2,25.18,1 2 2 2
7/22/2014 2:01,6.6,1 1 1 1,5.429,1 1 1 1,93.4,1 2 1 2,26.08,1 1 3 1,998.4455,1 1 3 1,24.78,1 1 1 1,311,1 1 3 1,0.921,1 1 1 1,-8.23,4 3 1 1,1.446,1 1 1 4,3.05,1 1 1 1,192,1 1 1 1,18.68,1 1 1 1,273.36,1 1 1 1,501.2,1 1 1 1,0.69,1 2 2 2,25.16,1 2 2 2
