"Ohio Algal Toxin Results from Lake Erie, State Park Beaches, Inland Lakes, and Public Water Supplies - 10/6/2018 to Present",,,,,,,,,,,,,,
"(Data analyzed by Ohio EPA Division of Environmental Services, independent Public Water System Labs, and commercial labs. Sampling and analysis protocols follow the Ohio EPA Total Microcystins – ADDA by ELISA Analytical Methodology, effective January 1, 2015.)

To filter on the columns, highlight the header row. From the top menu, select Data and then click Filter.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"*Lab Qualifier Explanation  
ND=Not Detected (Not detected means that the result is below the reporting limit.)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Report Date: 10/5/2020 6:00:07 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Site,Site ID,Site Type,Collect Date/Time,,Sample ID,Parameter,,Result,Units,Qual.*,Program,Lab,Lat,Long
BARBERTON WTP-TP-LT2001-Raw,7758601-LT2001,PWS Plant Intake Site,9/30/2020,14:45,20100102-01,Saxitoxin,,ND,ug/L,,HAB-NEDO,DES,41.056511,-81.613794
Barberton WTP,7758601-EP001,PWS Finished Water Site,9/30/2020,14:35,20100102-02,Saxitoxin,,ND,ug/L,,HAB-NEDO,DES,41.056511,-81.613794
WARREN WTP-TP-LT2001-Raw,7859141-LT2001,PWS Plant Intake Site,9/30/2020,10:15,20100101-01,Saxitoxin,,ND,ug/L,,HAB-NEDO,DES,41.291369,-80.760567
Warren WTP,7859141-EP001,PWS Finished Water Site,9/30/2020,10:00,20100101-02,Saxitoxin,,ND,ug/L,,HAB-NEDO,DES,41.291369,-80.760567
Fostoria WTP,7458088-EP001,PWS Finished Water Site,9/30/2020,08:15,20100103-02,Saxitoxin,,ND,ug/L,,HAB-NWDO,DES,41.1604,-83.427406
FOSTORIA CITY-TP-LT2001-Raw,7458088-LT2001,PWS Plant Intake Site,9/30/2020,07:50,20100103-01,Saxitoxin,,0.0275,ug/L,,HAB-NWDO,DES,41.1604,-83.427406
Van Wert WTP,8159424-EP001,PWS Finished Water Site,9/29/2020,15:00,20093005-02,Saxitoxin,,ND,ug/L,,HAB-NWDO,DES,40.849431,-84.58105
