Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,ANL_CODE_3,ANALYTE_3,VALUE_3,UNITS_3,FRACTION_3,METHOD_3,RESULT_REMARK_3,ANL_CODE_4,ANALYTE_4,VALUE_4,UNITS_4,FRACTION_4,METHOD_4,RESULT_REMARK_4,ANL_CODE_5,ANALYTE_5,VALUE_5,UNITS_5,FRACTION_5,METHOD_5,RESULT_REMARK_5,ANL_CODE_6,ANALYTE_6,VALUE_6,UNITS_6,FRACTION_6,METHOD_6,RESULT_REMARK_6,ANL_CODE_7,ANALYTE_7,VALUE_7,UNITS_7,FRACTION_7,METHOD_7,RESULT_REMARK_7,ANL_CODE_8,ANALYTE_8,VALUE_8,UNITS_8,FRACTION_8,METHOD_8,RESULT_REMARK_8,ANL_CODE_9,ANALYTE_9,VALUE_9,UNITS_9,FRACTION_9,METHOD_9,RESULT_REMARK_9,ANL_CODE_10,ANALYTE_10,VALUE_10,UNITS_10,FRACTION_10,METHOD_10,RESULT_REMARK_10,ANL_CODE_11,ANALYTE_11,VALUE_11,UNITS_11,FRACTION_11,METHOD_11,RESULT_REMARK_11,ANL_CODE_12,ANALYTE_12,VALUE_12,UNITS_12,FRACTION_12,METHOD_12,RESULT_REMARK_12,
"1","2010","April    ","Spring","Erie","ER1011","E091M10","ER91M","10.2","41.83835","-82.904333","2010/04/07 20:59","EDT","4.9","Five Meter","surface water","Individual QC","lab duplicate","10GC17C82","NO2+NO3","Nitrogen, Total Oxidized","0.477","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.742","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.691","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.1","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","2010","April    ","Spring","Erie","ER1011","E060M10","ER60","8.3","41.89175","-83.194883","2010/04/07 15:35","EDT","4.1","Middle Depth","surface water","Individual QC","field duplicate","10GC17D23","Cond","Conductivity","232.9","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.401","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.836","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","7.662","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.7","C","Not applicable","NA","","Turb","Turbidity","1.61","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","2010","April    ","Spring","Erie","ER1011","E061M10","ER61","8.9","41.946767","-83.045617","2010/04/07 14:18","EDT","0","Integrated, Spring","surface water","Composite","routine field sample","10GC17I12","NO2+NO3","Nitrogen, Total Oxidized","0.904","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.367","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.766","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.7","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","2010","April    ","Spring","Erie","ER1011","E060M10","ER60","8.3","41.89175","-83.194883","2010/04/07 15:35","EDT","","Integrated, Spring","surface water","Composite","routine field sample","10GC17I32","NO2+NO3","Nitrogen, Total Oxidized","0.401","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.72","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","8.212","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.6","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","2010","April    ","Spring","Erie","ER1011","E059M10","ER59","8","41.72735","-83.150533","2010/04/07 17:11","EDT","","Integrated, Spring","surface water","Composite","routine field sample","10GC17I52","NO2+NO3","Nitrogen, Total Oxidized","0.632","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.127","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","10.346","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.7","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","2010","April    ","Spring","Erie","ER1011","E058M10","ER58","9.5","41.683917","-82.9349","2010/04/07 18:11","EDT","","Integrated, Spring","surface water","Composite","routine field sample","10GC17I72","NO2+NO3","Nitrogen, Total Oxidized","0.696","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.608","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","20.199","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.0","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","2010","April    ","Spring","Erie","ER1011","E091M10","ER91M","10.2","41.83835","-82.904333","2010/04/07 20:59","EDT","","Integrated, Spring","surface water","Composite","routine field sample","10GC17I92","NO2+NO3","Nitrogen, Total Oxidized","0.474","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.261","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.301","ug/l","Total/Bulk","LG204","","Temp","Temperature","7.0","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","2010","April    ","Spring","Erie","ER1011","E058M10","ER58","9.5","41.683917","-82.9349","2010/04/07 18:11","EDT","","Synthetic Sample","surface water","Individual QC","field blank","10GC17R60","Cond","Conductivity","0.7491","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","-0.003701","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","0.131","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","0.737","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.0","C","Not applicable","NA","","Turb","Turbidity","0.065","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","2010","April    ","Spring","Erie","ER1011","E061M10","ER61","8.9","41.946767","-83.045617","2010/04/07 14:18","EDT","2","Surface","surface water","Individual","routine field sample","10GC17S01","Cond","Conductivity","249.2","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.909","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","4.669","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.036","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.7","C","Not applicable","NA","","Turb","Turbidity","9.69","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","2010","April    ","Spring","Erie","ER1011","E061M10","ER61","8.9","41.946767","-83.045617","2010/04/07 14:18","EDT","4.5","Middle Depth","surface water","Individual","routine field sample","10GC17S03","Cond","Conductivity","248.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.902","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","4.818","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","15.924","ug/l","Total/Bulk","LG204","","Temp","Temperature","8.7","C","Not applicable","NA","","Turb","Turbidity","9.92","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
